f,l,H,dg,fid,FORM_CODE,PERIMETER,AREA,IGME_NAME,HYDRO_CODE,Density_g_,Source,H2,H3
40.861378000000002,23.570450999999998,283.800000000000011,16.134699999999999,"10029",Ms.c,"33203.183","7366080.023",??????????,"211","2.2",USGS,"181",266.570556640625
40.855978000000000,23.568451000000000,319.199999999999989,14.745500000000000,"10029",Ms.c,"33203.183","7366080.023",??????????,"211","2.2",USGS,"184",316.267852783203
40.851678000000000,23.564150999999999,370.800000000000011,15.701900000000000,"10029",Ms.c,"33203.183","7366080.023",??????????,"211","2.2",USGS,"191",356.975463867188
40.846477000000000,23.556650000000001,410.899999999999977,15.318800000000000,"10029",Ms.c,"33203.183","7366080.023",??????????,"211","2.2",USGS,"201",405.564453125
41.235484999999997,23.390643000000001,84.000000000000000,-4.018580000000000,"7262",Pt.cs,sc2,"6174.121","1285201.893",????????????,"121","2.75","144",90.1186294555664
41.262684999999998,23.254739000000001,39.399999999999999,-8.077389999999999,"8170",Q.cs2,"28377.868","14312683.57",,"121","2.65",Carmichael,"141",44.8578681945801
41.220883999999998,23.288640000000001,39.899999999999999,-13.515900000000000,"10341",H.al,"408361.938","578417333.7",,"111","2.2",USGS,"134",40.1072082519531
41.263184000000003,23.139935999999999,80.000000000000000,-3.069020000000000,"7806",Q.cs2,"133460.176","62663782.59",??????????,"-",??????,"111","146",78.4463653564453
41.133982000000003,23.226739999999999,32.000000000000000,-0.872295000000000,"10344",H.al,"225009.489","154651823.5",,"111","2.2",USGS,"132",29.7246379852295
41.212381999999998,23.084135000000000,34.299999999999997,17.545000000000002,"7821",H.al,"42838.135","30544632.86",,"111","2.2",USGS,"132",33.5576362609863
