fid,field_1,field_2,field_3,FORM_CODE,IGME_NAME,HYDRO_CODE,H1,SAMPLE_1
"1368","23.0638","41.301","-6.0109",gn2,- Νέο Πετρίτσιον - Καστανούσα - Πόροια,"323","221",807.630126953125
"1369","23.0971","41.301","-6.3965",gn2,- Νέο Πετρίτσιον - Καστανούσα - Πόροια,"323","224",1098.82458496094
"1370","23.1304","41.301","-3.6298",gn2,- Νέο Πετρίτσιον - Καστανούσα - Πόροια,"323","224",1116.57397460938
"1371","22.7974","41.2677","-3.8015",Q.cs1,Καστανούσα - Πόροια,"111","159",194.227767944336
"1372","22.8307","41.2677","-4.5893",Q.cs1,Καστανούσα - Πόροια,"111","160",205.989685058594
"1373","22.864","41.2677","1.7537",Q.cs1,Καστανούσα - Πόροια,"111","162",219.691848754883
"1374","22.8973","41.2677","8.7141",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","176",308.385650634766
"1375","22.9306","41.2677","10.2988",Q.cs1,Καστανούσα - Πόροια,"111","153",147.132629394531
"1376","22.9639","41.2677","7.1946",Q.cs1,Καστανούσα - Πόροια,"111","149",128.723098754883
"1377","22.9972","41.2677","5.1309",Q.cs2,Καστανούσα - Πόροια,"111","147",108.162673950195
"1378","23.0305","41.2677","4.4101",Q.cs2,Καστανούσα - Πόροια,"111","155",185.347152709961
"1379","23.0638","41.2677","2.6466",Q.cs2,Καστανούσα - Πόροια,"111","147",112.722732543945
"1380","23.2303","41.2677","-5.7074",Q.cs2,- Νέο Πετρίτσιον - Πόροια,"121","139",54.3718757629395
"1381","23.2636","41.2677","-6.8119",Q.cs2,- Νέο Πετρίτσιον - Πόροια,"121","137",52.4887657165527
"1382","23.2969","41.2677","-6.1626",Q.cs2,- Νέο Πετρίτσιον - Πόροια,"121","140",57.731372833252
"1383","23.3302","41.2677","-4.1758",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","139",45
"1384","23.3635","41.2677","-1.8409","Pl.st,l",- Νέο Πετρίτσιον - Σιδηρόκαστρο,"121","146",106.123779296875
"1385","23.3968","41.2677","2.1534","Pl.st,l",- Νέο Πετρίτσιον - Σιδηρόκαστρο,"121","160",211.461822509766
"1386","22.7974","41.2344","-0.4291","H.l,s",- Χέρσον - Καστανούσα,"121","154",153.639831542969
"1387","22.9639","41.2344","9.4796",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","189",298.462524414062
"1388","22.9972","41.2344","7.8159",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","150",108.236770629883
"1389","23.0305","41.2344","11.4759",H.al,- Χέρσον - Κερκίνη,"111","141",55.5425338745117
"1390","23.0638","41.2344","13.2811",H.al,- Χέρσον - Κερκίνη,"111","136",43.6464004516602
"1391","23.2636","41.2344","-10.2135",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","134",37.1994552612305
"1392","23.2969","41.2344","-13.2389",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","136",41.1398429870605
"1393","23.3302","41.2344","-13.4732",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","137",44.0294342041016
"1394","23.3635","41.2344","-9.4122",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","141",60.835319519043
"1395","22.7974","41.2011","-1.6609",Pt.t-Pt.l.s,- Χέρσον - Εύζωνοι,"111","156",164.148635864258
"1396","22.8307","41.2011","4.9266",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","190",335.4794921875
"1397","22.8973","41.2011","14.7141",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","216",529.221740722656
"1398","22.9306","41.2011","9.9095",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","215",610.538146972656
"1399","22.9639","41.2011","3.5308",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","208",399.867736816406
"1400","22.9972","41.2011","4.5987",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","185",372.269012451172
"1401","23.0638","41.2011","18.4391",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","148",168.436141967773
"1402","23.2636","41.2011","-11.3204",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","132",34.3309020996094
"1403","23.2969","41.2011","-15.7875",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","133",37.2970695495605
