id,f,l,H,dg
1,40.62147222,22.96355556,29.631,30.4316
1,40.62170833,22.96311111,28.399,30.3281
1,40.62072222,22.96375,30.667,30.5187
1,40.628,22.96627778,52.623,32.6346
1,40.62833333,22.96680556,55.686,32.2983
1,40.62847222,22.96744444,60.718,32.4082
1,40.62866667,22.96797222,68.802,32.7608
1,40.62911111,22.96841667,77.501,32.818
1,40.62861111,22.96886111,78.582,33.0602
1,40.62822222,22.96916667,74.794,32.7839
1,40.62772222,22.9695,76.059,33.3815
1,40.62727778,22.96952778,77.355,33.9596
1,40.62683333,22.96958333,74.987,34.1505
1,40.62622222,22.96955556,68.868,33.7937
1,40.62586111,22.96913889,66.285,33.6955
1,40.62775,22.96686111,58.872,32.9738
1,40.62780556,22.96766667,64.273,33.0308
1,40.62816667,22.96783333,66.108,32.8312
1,40.62838889,22.96858333,73.751,32.9022
1,40.63017456,22.96204067,87.376,46.278
1,40.62978889,22.96229878,87.461,46.3051
1,40.6293415,22.96258897,87.632,46.2647
1,40.62893786,22.962857,87.882,46.2736
1,40.62854239,22.96312039,87.907,46.2349
1,40.62811031,22.96341539,88.099,46.2289
1,40.62764939,22.96371336,88.272,46.1356
1,40.62780408,22.96417875,89.228,46.0691
1,40.62791175,22.96469781,90.405,46.1717
1,40.62792608,22.96530589,92.132,46.0342
1,40.62819703,22.96529219,92.35,46.1433
1,40.62871983,22.96490756,96.538,46.7133
1,40.62912806,22.96462819,97.328,46.7312
1,40.62965986,22.96394631,94.91,46.2032
1,40.62978036,22.96267825,89.442,46.2253
1,40.63018822,22.96235317,91.384,46.3793
1,40.63076681,22.96275119,100.018,46.3577
1,40.63140236,22.96286242,108.443,46.5422
1,40.63050806,22.96340214,100.574,45.9705
1,40.63032803,22.96441386,104.88,45.9664
1,40.62944928,22.96450542,98.549,46.511
1,40.62905633,22.96507222,97.746,46.5751
1,40.62917433,22.96559708,97.587,45.9272
1,40.63007033,22.96585636,106.859,45.5207
1,40.63071903,22.96498569,109.713,45.5533
1,40.63111819,22.96399625,114.273,46.1888
1,40.63150342,22.96514769,120.607,45.5537
1,40.63200825,22.96431528,122.12,45.8378
1,40.63220847,22.96359486,122.106,46.3351
1,40.63216139,22.96333783,114.994,45.9986
1,40.63171286,22.96306417,110.524,46.144
1,40.82110883,23.03172253,179.812,-19.7441
1,40.88725744,23.10502134,536.656,-14.505
1,40.92795886,23.17850647,567.656,3.17206
1,40.9626563,23.20538996,638.505,13.4578
1,40.99297308,23.27678595,559.884,16.4508
1,41.01323936,23.33698115,95.528,5.23655
1,41.02324341,23.36360265,25.552,-6.25543
1,41.01451984,23.43543576,15.38,-23.8237
1,41.05693517,23.42244368,15.706,-26.7464
1,41.07130114,23.46129782,15.408,-24.548
1,41.09629552,23.50161322,55.851,-3.0609
1,40.71332409,22.78176423,17.882,19.8086
1,40.70602769,22.77195917,9.195,15.8832
1,40.72921357,22.63971019,9.998,-4.57867
1,40.76331906,22.52809476,75.313,-6.65417
1,40.77582623,22.4246536,23.969,-3.19776
1,40.76286159,22.1590694,31.415,7.02353
1,40.62192591,22.07988022,235.785,-8.8361
1,40.55958986,22.58695186,3.909,-15.1672
1,40.58955284,22.46767638,12.289,-12.9744
1,40.54343446,22.31605731,21.26,-6.27232
1,40.5074977,22.22519582,85.887,-2.81112
1,40.62492808,22.96082825,25.25,31.137
1,40.61672087,22.96268268,21.51,28.4781
1,40.61262839,22.96370478,18.76,27.785
1,40.6041805,22.96860667,25.562,26.2511
1,40.59406836,22.97172342,39.461,25.4043
1,40.59406858,22.97172353,39.442,25.3982
1,40.58736417,22.97306231,60.401,20.2782
1,40.5843315,22.98206203,71.605,18.6225
1,40.57625908,22.98796653,75.334,15.5912
1,40.56722169,22.99652822,68.72,14.0567
1,40.56230342,23.00222475,77.999,12.2211
1,40.55701708,23.01170878,61.774,10.7587
1,40.55239956,23.017933,60.192,9.85601
1,40.54635467,23.02768278,55.499,10.3805
1,40.54083497,23.02460597,46.212,6.05198
1,40.53682497,23.03569931,61.635,8.65692
1,40.52981056,23.04312594,45.817,6.40847
1,40.52378756,23.05084675,40.205,2.82199
1,40.51852081,23.06317472,33.076,3.03812
1,40.5138415,23.07406803,36.633,3.94784
1,40.50656997,23.08895553,42.784,0.596348
1,40.50122028,23.09769353,48.37,-1.92402
1,40.49567958,23.08888842,36.564,-6.10014
1,40.48585764,23.0878805,52.089,-9.79447
1,40.47598431,23.08695844,88.01,-7.94193
